slot,status,decode_ok,fcs_pass,predicted_start_native,window_start_native,predicted_start_out,detected_start_out,det_minus_pred,detected_repetitions,timing_metric,clock_error_ppm,cfo_hz,sfd_correlation,phr_secded_pass,psdu_length,fcs_received,fcs_calculated,payload_hex,error_id,error_message
11,success,1,1,44093952,44063952,59710588,59710875,287,64,0.910428702831268,4.44089209850063e-10,1487.73957969088,0.905371367931366,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
12,success,1,1,47780352,47750352,64702588,64702963,375,64,0.948266386985779,6.66133814775094e-10,2415.40217260166,0.94695633649826,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
13,success,1,1,51466752,51436752,69694588,69694959,371,64,0.951887726783752,4.44089209850063e-10,1936.2377391203,0.950599789619446,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
14,success,1,1,55153152,55123152,74686588,74687008,420,64,0.905111730098724,2.22044604925031e-10,1707.80913816714,0.904147028923035,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
15,success,1,1,58839552,58809552,79678588,79679047,459,64,0.943400204181671,2.22044604925031e-10,2042.95433400772,0.942122340202332,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
16,success,1,1,62525952,62495952,84670588,84671095,507,64,0.951629936695099,6.66133814775094e-10,1946.3936319592,0.950859129428864,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
17,success,1,1,66212352,66182352,89662588,89663161,573,64,0.931771993637085,6.66133814775094e-10,1847.42335242469,0.928320169448853,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
18,success,1,1,69898752,69868752,94654588,94655171,583,64,0.950493216514587,2.22044604925031e-10,1804.33597102249,0.950054526329041,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
19,success,1,1,73585152,73555152,99646588,99647171,583,64,0.900230526924133,2.22044604925031e-10,2197.77738772407,0.899610459804535,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
20,success,1,1,77271552,77241552,104638588,104639226,638,64,0.94150298833847,0,2203.79746151019,0.940806746482849,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
21,success,1,1,80957952,80927952,109630588,109631281,693,64,0.942517399787903,4.44089209850063e-10,2064.36619145014,0.938883185386658,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
22,success,1,1,84644352,84614352,114622588,114623329,741,64,0.885707557201385,0,2044.16555968922,0.884427666664124,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
23,success,1,1,88330752,88300752,119614588,119615364,776,64,0.949761390686035,4.44089209850063e-10,1800.49663534672,0.949260592460632,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
24,success,1,1,92017152,91987152,124606588,124607464,876,64,0.951708018779755,2.22044604925031e-10,2111.32625155212,0.950240731239319,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
25,success,1,1,95703552,95673552,129598588,129599466,878,64,0.877716183662415,2.22044604925031e-10,1870.70451523632,0.87054306268692,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
26,success,1,1,99389952,99359952,134590588,134591463,875,64,0.907668590545654,4.44089209850063e-10,1814.89893665126,0.907012164592743,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
27,success,1,1,103076352,103046352,139582588,139583509,921,64,0.908308386802673,0,2017.24408516347,0.902826011180878,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
28,success,1,1,106762752,106732752,144574588,144575581,993,64,0.930678069591522,2.22044604925031e-10,1793.43579740143,0.930314600467682,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
29,success,1,1,110449152,110419152,149566588,149567642,1054,64,0.952615797519684,4.44089209850063e-10,1678.99737155158,0.951221108436584,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
30,success,1,1,114135552,114105552,154558588,154559663,1075,64,0.882609605789185,4.44089209850063e-10,1848.21627866508,0.876191794872284,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
31,success,1,1,117821952,117791952,159550588,159551709,1121,64,0.945095121860504,8.88178419700125e-10,1968.60838956327,0.944373250007629,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
32,success,1,1,121508352,121478352,164542588,164543766,1178,64,0.940505802631378,4.44089209850063e-10,2012.80807251321,0.93659919500351,1,54,3618,3618,2D00003200000000090004E80300000104D00700000204C20100000304EE02000004010005010007040000000006040000000008220E,,
