packet_id,status,fcs,det_start,pred_start,win_start,timing_metric,timing_peaks,cfo_hz,cfo_peaks_used,cfo_skipped_peaks,cfo_fit_first_peak,cfo_fit_last_peak,sfd_metric,sfd_final_det,sfd_initial_pred,sfd_boot_det,sfd_boot_first_valid_back,ns_sfd_metric,ns_sfd_start,phr_len,phr_unc,payload_n,t_total_us,t_timing_us,t_timing_coarse_us,t_timing_fine_track_us,t_resample_us,t_cfo_us,t_sfd_us,sfd_boot_windows,sfd_boot_coarse,sfd_boot_fine,sfd_final_windows,sfd_final_coarse,sfd_final_fine,t_cir_us,t_ns_sfd_us,t_phr_us,t_payload_us,t_queue_us,t_demod_lat_us,t_wall_lat_us,t_cir_est_us,t_cir_soft_us,t_cir_post_us
59,success,True,299328915,299326588,299285963,0.31972602009773254,64,1808.2008209773826,40,24,299354314,299393938,0.9077209234237671,299393939,299393939,299393939,0,0.9582343697547913,32512,54,False,54,4426.0,2250.0,1415.0,834.0,2098.0,299.0,799.0,1,5,15,1,5,15,974.0,41.0,10.0,53.0,30.0,4429.0,4460.0,36.0,785.0,151.0
60,success,True,304320944,304318588,304277963,0.2801245450973511,64,2130.854299723136,40,24,304346343,304385967,0.7905623316764832,304385968,304389016,304385968,3,0.9580571055412292,32512,54,False,54,5002.0,2261.0,1425.0,836.0,2120.0,310.0,1205.0,4,20,60,1,5,15,972.0,42.0,11.0,201.0,25.0,5007.0,5033.0,47.0,771.0,152.0
61,success,True,309313010,309310588,309269963,0.31667590141296387,64,1812.857287249803,40,24,309338409,309378033,0.8877381682395935,309378034,309378034,309378034,0,0.9586387276649475,32512,54,False,54,4709.0,2258.0,1516.0,741.0,2150.0,336.0,945.0,1,5,15,1,5,15,1062.0,41.0,11.0,56.0,24.0,4713.0,4738.0,51.0,857.0,151.0
62,success,True,314305075,314302588,314261963,0.3149441182613373,64,2315.5642157325333,40,24,314330474,314370098,0.9095515608787537,314370099,314374163,314370099,4,0.9578761458396912,32512,54,False,54,4845.0,2214.0,1402.0,811.0,2140.0,296.0,1276.0,5,25,75,1,5,15,933.0,43.0,31.0,52.0,32.0,4850.0,4883.0,38.0,740.0,154.0
63,success,True,319297043,319294588,319253963,0.267245352268219,64,1751.2009785364633,40,24,319322442,319362066,0.7794880270957947,319362067,319362067,319362067,0,0.9584038257598877,32512,54,False,54,4677.0,2252.0,1469.0,783.0,2104.0,370.0,974.0,1,5,15,1,5,15,964.0,42.0,11.0,64.0,26.0,4681.0,4707.0,53.0,757.0,152.0
64,success,True,324289118,324286588,324245963,0.3268856406211853,64,1583.9375100341686,40,24,324314517,324354141,0.9044986963272095,324354142,324354142,324354142,0,0.9588810205459595,32512,54,False,54,4376.0,2205.0,1465.0,740.0,2111.0,309.0,818.0,1,5,15,1,5,15,932.0,41.0,11.0,60.0,21.0,4379.0,4401.0,37.0,742.0,152.0
65,success,True,329281149,329278588,329237963,0.3185620605945587,64,2307.985221656037,40,24,329306548,329346172,0.9034784436225891,329346173,329346173,329346173,0,0.9579645991325378,32512,54,False,54,4366.0,2199.0,1411.0,787.0,2103.0,297.0,809.0,1,5,15,1,5,15,947.0,41.0,10.0,63.0,24.0,4371.0,4395.0,37.0,755.0,153.0
66,success,True,334273181,334270588,334229963,0.2824769616127014,64,1702.2849660207592,40,24,334298580,334338204,0.825774073600769,334338205,334338205,334338205,0,0.9586568474769592,32512,54,False,54,4364.0,2242.0,1406.0,836.0,2114.0,290.0,797.0,1,5,15,1,5,15,927.0,40.0,23.0,45.0,29.0,4369.0,4398.0,37.0,738.0,151.0
67,success,True,339265276,339262588,339221963,0.3345702290534973,64,2312.248403528545,40,24,339290675,339330299,0.9100100994110107,339330300,339330300,339330300,0,0.9584961533546448,32512,54,False,54,4345.0,2146.0,1473.0,673.0,2617.0,303.0,808.0,1,5,15,1,5,15,967.0,50.0,25.0,46.0,22.0,4349.0,4371.0,37.0,778.0,151.0
68,success,True,344257276,344254588,344213963,0.3214399814605713,64,1795.6678752228988,40,24,344282675,344322299,0.9106209874153137,344322300,344322300,344322300,0,0.9589555859565735,32512,54,False,54,4379.0,2151.0,1477.0,674.0,2127.0,290.0,828.0,1,5,15,1,5,15,998.0,41.0,11.0,60.0,18.0,4383.0,4402.0,37.0,810.0,150.0
69,success,True,349249295,349246588,349205963,0.2791426479816437,64,1567.9695010599264,40,24,349274694,349314318,0.7644748687744141,349314319,349314319,349314319,0,0.9586837887763977,32512,54,False,54,4239.0,2096.0,1404.0,692.0,2138.0,291.0,806.0,1,5,15,1,5,15,935.0,40.0,10.0,61.0,28.0,4244.0,4273.0,36.0,747.0,151.0
